date,june,july,aug ,sept
1,8.65,25.6,24.75,16.55
2,3.7,37,20.1,18.45
3,6,30.3,19,17.4
4,4.8,44.3,25.4,17.7
5,8.9,38.55,21.7,12.95
6,5.05,19.85,24.65,9.45
7,7.05,14.2,21.1,7.3
8,12.65,31.9,18.8,8.45
9,18.35,29.35,14.6,9.75
10,22.35,20.7,18.15,13.6
11,13.1,16.65,17.15,11.3
12,22.55,23.05,21.65,8.9
13,12.7,27.95,16.65,11.05
14,11.5,18.5,16.25,9.7
15,23.9,28,16.6,10.85
16,30.55,27.75,8.55,8.2
17,30.8,33,13.1,10.55
18,18.55,30,12.4,8.6
19,27.9,26.15,10.55,7.4
20,19.6,19.55,9.85,14.15
21,20.75,17.85,14.45,10.5
22,15.45,22.25,12.5,10.95
23,24.35,19.65,16.55,24.8
24,26.85,25.65,12.35,13
25,28.3,19.1,13.5,10.3
26,22.45,16.65,13.6,13.55
27,19.7,31,13.05,11.1
28,22.75,24.4,16.8,7.85
29,24.2,21.2,20.85,8.75
30,26.25,25.15,21.55,4.7
31,,29.65,18.05,
